,winner,point_difference,result,name,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed
30,1,15,1,Oklahoma,1,1,1,30,1985,Oklahoma,3.85,6.0,11.9,1.1,7.4,23.0,468.0,970.0,0.482,70.7,0.421,0.324,0.77,1985,8.1,28.2,36.3,16
31,1,15,1,North Carolina A&T,16,0,0,31,1985,North Carolina A&T,3.69,8.41,14.1,0.9,5.7,19.0,570.0,1179.0,0.483,71.3,0.422,0.294,0.604,1985,11.6,27.6,39.1,1
32,9,1,2,USC,8,0,1,32,1985,USC,5.0,6.61,14.3,0.99,6.4,18.0,538.0,1120.0,0.48,71.3,0.438,0.346,0.667,1985,11.2,27.7,38.9,9
33,9,1,2,Illinois State,9,1,0,33,1985,Illinois State,2.5,5.79,12.2,0.86,8.3,23.0,443.0,936.0,0.473,65.8,0.427,0.359,0.693,1985,9.0,24.0,33.0,8
34,5,7,1,Louisiana Tech,5,1,1,34,1985,Louisiana Tech,2.44,7.56,13.4,1.1,8.4,24.0,510.0,949.0,0.537,74.1,0.464,0.354,0.663,1985,10.4,26.7,37.1,12
35,5,7,1,Pitt,12,0,0,35,1985,Pittsburgh,3.46,7.71,12.7,1.08,5.3,18.0,494.0,1073.0,0.46,65.5,0.406,0.292,0.718,1985,11.9,22.5,34.4,5
36,4,9,1,Ohio State,4,1,1,36,1985,Ohio State,3.41,4.93,13.9,1.06,8.7,23.0,419.0,838.0,0.5,71.9,0.448,0.379,0.737,1985,9.9,26.8,36.7,13
37,4,9,1,Iowa State,13,0,0,37,1985,Iowa State,4.37,7.59,14.5,1.12,7.4,23.0,519.0,1013.0,0.512,73.1,0.441,0.324,0.735,1985,10.2,24.3,34.4,4
38,11,5,2,Texas Tech,6,0,1,38,1985,Texas Tech,4.11,8.0,15.8,1.15,7.3,20.0,492.0,950.0,0.518,73.7,0.461,0.361,0.754,1985,9.0,24.7,33.7,11
39,11,5,2,Boston College,11,1,0,39,1985,Boston College,2.57,8.11,12.4,0.93,6.7,22.0,467.0,989.0,0.472,64.8,0.406,0.301,0.664,1985,9.4,23.4,32.7,6
40,3,11,1,Duke,3,1,1,40,1985,Duke,5.96,8.48,15.8,1.19,7.1,20.0,623.0,1166.0,0.534,82.6,0.477,0.355,0.695,1985,12.8,27.5,40.3,14
41,3,11,1,Pepperdine,14,0,0,41,1985,Pepperdine,3.59,6.38,14.8,1.17,7.9,23.0,530.0,1089.0,0.487,76.2,0.435,0.35,0.795,1985,9.7,24.3,34.0,3
42,7,3,1,Alabama-Birmingham,7,1,1,42,1985,UAB,2.86,5.86,10.5,0.71,5.3,16.0,531.0,1040.0,0.511,66.5,0.453,0.322,0.695,1985,10.5,26.2,36.6,10
43,7,3,1,Michigan State,10,0,0,43,1985,Michigan State,5.11,5.22,17.7,1.38,7.7,22.0,522.0,1006.0,0.519,75.5,0.456,0.348,0.749,1985,11.3,29.9,41.2,7
44,2,13,1,Memphis,2,1,1,44,1985,Memphis,6.07,8.15,14.1,0.86,6.6,20.0,514.0,1014.0,0.507,73.3,0.448,0.336,0.671,1985,10.4,29.1,39.5,15
45,2,13,1,Penn,15,0,0,45,1985,Pennsylvania,3.26,5.7,14.8,1.18,8.6,27.0,425.0,770.0,0.552,73.1,0.45,0.321,0.681,1985,8.2,27.9,36.1,2
46,1,8,1,Oklahoma,1,1,1,46,1985,Oklahoma,3.85,6.0,11.9,1.1,7.4,23.0,468.0,970.0,0.482,70.7,0.421,0.324,0.77,1985,8.1,28.2,36.3,9
47,1,8,1,Illinois State,9,0,0,47,1985,Illinois State,2.5,5.79,12.2,0.86,8.3,23.0,443.0,936.0,0.473,65.8,0.427,0.359,0.693,1985,9.0,24.0,33.0,1
48,5,1,2,Louisiana Tech,5,1,0,48,1985,Louisiana Tech,2.44,7.56,13.4,1.1,8.4,24.0,510.0,949.0,0.537,74.1,0.464,0.354,0.663,1985,10.4,26.7,37.1,4
49,5,1,2,Ohio State,4,0,1,49,1985,Ohio State,3.41,4.93,13.9,1.06,8.7,23.0,419.0,838.0,0.5,71.9,0.448,0.379,0.737,1985,9.9,26.8,36.7,5
50,11,8,2,Boston College,11,1,0,50,1985,Boston College,2.57,8.11,12.4,0.93,6.7,22.0,467.0,989.0,0.472,64.8,0.406,0.301,0.664,1985,9.4,23.4,32.7,3
51,11,8,2,Duke,3,0,1,51,1985,Duke,5.96,8.48,15.8,1.19,7.1,20.0,623.0,1166.0,0.534,82.6,0.477,0.355,0.695,1985,12.8,27.5,40.3,11
52,2,5,1,Alabama-Birmingham,7,0,0,52,1985,UAB,2.86,5.86,10.5,0.71,5.3,16.0,531.0,1040.0,0.511,66.5,0.453,0.322,0.695,1985,10.5,26.2,36.6,2
53,2,5,1,Memphis,2,1,1,53,1985,Memphis,6.07,8.15,14.1,0.86,6.6,20.0,514.0,1014.0,0.507,73.3,0.448,0.336,0.671,1985,10.4,29.1,39.5,7
54,1,4,1,Oklahoma,1,1,1,54,1985,Oklahoma,3.85,6.0,11.9,1.1,7.4,23.0,468.0,970.0,0.482,70.7,0.421,0.324,0.77,1985,8.1,28.2,36.3,5
55,1,4,1,Louisiana Tech,5,0,0,55,1985,Louisiana Tech,2.44,7.56,13.4,1.1,8.4,24.0,510.0,949.0,0.537,74.1,0.464,0.354,0.663,1985,10.4,26.7,37.1,1
56,2,9,1,Boston College,11,0,0,56,1985,Boston College,2.57,8.11,12.4,0.93,6.7,22.0,467.0,989.0,0.472,64.8,0.406,0.301,0.664,1985,9.4,23.4,32.7,2
57,2,9,1,Memphis,2,1,1,57,1985,Memphis,6.07,8.15,14.1,0.86,6.6,20.0,514.0,1014.0,0.507,73.3,0.448,0.336,0.671,1985,10.4,29.1,39.5,11
58,2,1,2,Oklahoma,1,0,1,58,1985,Oklahoma,3.85,6.0,11.9,1.1,7.4,23.0,468.0,970.0,0.482,70.7,0.421,0.324,0.77,1985,8.1,28.2,36.3,2
59,2,1,2,Memphis,2,1,0,59,1985,Memphis,6.07,8.15,14.1,0.86,6.6,20.0,514.0,1014.0,0.507,73.3,0.448,0.336,0.671,1985,10.4,29.1,39.5,1
60,1,15,1,Michigan,1,1,1,60,1985,Michigan,4.63,5.37,15.0,1.37,8.3,24.0,526.0,982.0,0.536,75.4,0.46,0.345,0.717,1985,9.1,28.0,37.0,16
61,1,15,1,Fairleigh Dickinson,16,0,0,61,1985,Fairleigh Dickinson,3.26,6.48,11.8,0.9,7.4,21.0,504.0,1008.0,0.5,71.8,0.449,0.358,0.733,1985,9.1,24.3,33.4,1
62,8,1,1,Villanova,8,1,1,62,1985,Villanova,2.74,5.85,14.9,1.39,9.9,27.0,436.0,859.0,0.508,73.9,0.441,0.364,0.778,1985,9.1,27.0,36.0,9
63,8,1,1,Dayton,9,0,0,63,1985,Dayton,3.59,6.04,17.9,1.39,8.1,22.0,569.0,918.0,0.62,80.6,0.521,0.369,0.73,1985,8.1,26.8,34.9,8
64,5,7,1,Maryland,5,1,1,64,1985,Maryland,4.41,4.67,13.3,1.13,7.9,25.0,431.0,874.0,0.493,71.7,0.418,0.319,0.747,1985,11.2,27.5,38.7,12
65,5,7,1,Miami (OH),12,0,0,65,1985,Miami (OH),2.48,5.16,12.4,1.09,8.5,25.0,428.0,887.0,0.483,71.0,0.423,0.34,0.71,1985,9.6,25.6,35.2,5
66,13,9,2,LSU,4,0,1,66,1985,LSU,4.15,6.52,12.9,0.98,6.4,20.0,599.0,1092.0,0.549,80.8,0.472,0.319,0.773,1985,12.5,27.6,40.1,13
67,13,9,2,Navy,13,1,0,67,1985,Navy,1.63,5.41,11.3,0.93,6.5,21.0,430.0,894.0,0.481,63.8,0.411,0.303,0.698,1985,11.7,23.7,35.5,4
68,11,5,2,Purdue,6,0,1,68,1985,Purdue,3.43,6.46,13.5,1.18,7.4,22.0,506.0,1077.0,0.47,68.3,0.424,0.342,0.67,1985,12.5,23.9,36.4,11
69,11,5,2,Auburn,11,1,0,69,1985,Auburn,4.89,6.56,12.8,0.99,8.0,26.0,493.0,926.0,0.532,78.7,0.432,0.301,0.673,1985,14.0,27.5,41.5,6
70,3,11,1,Kansas,3,1,1,70,1985,Kansas,4.93,7.71,14.4,1.13,6.7,19.0,591.0,1066.0,0.554,75.3,0.487,0.352,0.67,1985,10.4,28.1,38.5,14
71,3,11,1,Ohio,14,0,0,71,1985,Ohio,2.41,6.59,14.5,1.12,8.5,25.0,467.0,905.0,0.516,70.8,0.445,0.347,0.677,1985,9.7,25.7,35.4,3
72,7,3,1,Notre Dame,7,1,1,72,1985,Notre Dame,3.96,5.63,16.9,1.75,9.9,28.0,457.0,929.0,0.492,75.0,0.426,0.347,0.735,1985,10.3,27.5,37.8,10
73,7,3,1,Oregon State,10,0,0,73,1985,Oregon State,4.96,6.19,14.5,1.26,5.9,18.0,518.0,974.0,0.532,71.9,0.459,0.317,0.748,1985,8.8,24.4,33.2,7
74,2,13,1,UNC,2,1,1,74,1985,North Carolina,3.7,5.93,14.4,1.08,5.3,18.0,552.0,1190.0,0.464,70.6,0.413,0.291,0.663,1985,13.9,28.7,42.6,15
