,point_difference,team_seed,win,higher_or_lower_seed,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,ORPG,DRPG,RPG,other_team_seed,SRS_adv,SOS_adv,eFG_perc_adv,SRS_adv_opponent,SOS_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,eFG_perc_adv_subtracted,BLKPG_opponent,STPG_opponent,APG_opponent,AST_TO_opponent,_3pm_opponent,_3pa_opponent,_2pm_opponent,_2pa_opponent,_2p_perc_opponent,FG_perc_opponent,_3p_perc_opponent,FT_perc_opponent,ORPG_opponent,DRPG_opponent,RPG_opponent,BLKPG_subtracted,STPG_subtracted,APG_subtracted,AST_TO_subtracted,_3pm_subtracted,_3pa_subtracted,_2pm_subtracted,_2pa_subtracted,_2p_perc_subtracted,PTS_opponent,PTS_subtracted,FG_perc_subtracted,_3p_perc_subtracted,FT_perc_subtracted,ORPG_subtracted,DRPG_subtracted,RPG_subtracted,round,wins,losses,kenpom_adjem,wins_opponent,losses_opponent,kenpom_adjem_opponent,wins_subtracted,losses_subtracted,kenpom_adjem_subtracted
13,3,10,0,0,3.03,5.07,14.3,0.96,5.8,15.0,574.0,1166.0,0.4920000000000001,69.7,0.467,0.39799999999999996,0.764,12.2,25.5,37.7,7,14.9,9.6,0.516,15.85,8.17,0.525,-0.9499999999999992,1.4299999999999995,-0.009000000000000008,2.22,7.91,16.3,1.21,8.3,23.0,554.0,1066.0,0.52,0.45399999999999996,0.359,0.75,10.4,22.8,33.3,0.8099999999999996,-2.84,-2.0,-0.25,-2.500000000000001,-8.0,20.0,100.0,-0.027999999999999917,75.7,-6.0,0.013000000000000013,0.039000000000000035,0.014000000000000012,1.7999999999999992,2.7,4.400000000000006,1,19.0,12.0,16.86,23.0,11.0,19.15,-4.0,1.0,-2.289999999999999
14,13,2,1,1,7.13,7.8,14.6,0.91,4.4,11.0,737.0,1465.0,0.503,77.9,0.48100000000000004,0.385,0.691,14.0,27.4,41.3,15,16.02,7.43,0.521,-0.4,-8.9,0.537,16.419999999999998,16.33,-0.016000000000000014,3.59,7.97,14.2,0.94,6.5,19.0,700.0,1279.0,0.547,0.486,0.35200000000000004,0.669,13.8,23.8,37.7,3.54,-0.16999999999999993,0.4000000000000004,-0.02999999999999992,-2.1,-8.0,37.0,186.0,-0.04400000000000004,79.9,-2.0,-0.0050000000000000044,0.032999999999999974,0.02199999999999991,0.1999999999999993,3.5999999999999983,3.5999999999999943,1,27.0,7.0,19.36,25.0,7.0,3.99,2.0,0.0,15.37
15,13,15,0,0,3.59,7.97,14.2,0.94,6.5,19.0,700.0,1279.0,0.547,79.9,0.486,0.35200000000000004,0.669,13.8,23.8,37.7,2,-0.4,-8.9,0.537,16.02,7.43,0.521,-16.419999999999998,-16.33,0.016000000000000014,7.13,7.8,14.6,0.91,4.4,11.0,737.0,1465.0,0.503,0.48100000000000004,0.385,0.691,14.0,27.4,41.3,-3.54,0.16999999999999993,-0.4000000000000004,0.02999999999999992,2.1,8.0,-37.0,-186.0,0.04400000000000004,77.9,2.0,0.0050000000000000044,-0.032999999999999974,-0.02199999999999991,-0.1999999999999993,-3.5999999999999983,-3.5999999999999943,1,25.0,7.0,3.99,27.0,7.0,19.36,-2.0,0.0,-15.37
16,7,1,1,1,6.27,8.4,20.4,1.48,6.0,16.0,733.0,1404.0,0.522,85.3,0.483,0.37,0.71,13.5,28.1,41.6,8,23.5,9.38,0.53,10.09,9.22,0.499,13.41,0.16000000000000014,0.031000000000000024,1.87,5.8,12.7,0.98,6.6,19.0,492.0,1013.0,0.486,0.43799999999999994,0.35200000000000004,0.7190000000000001,10.3,22.1,32.4,4.4,2.6000000000000005,7.699999999999997,0.5,-0.5999999999999996,-3.0,241.0,391.0,0.03600000000000003,66.9,18.399999999999988,0.044999999999999984,0.01799999999999996,-0.009000000000000119,3.2,6.0,9.200000000000003,2,32.0,4.0,29.25,18.0,13.0,13.22,14.0,-9.0,16.03
17,7,8,0,0,1.87,5.8,12.7,0.98,6.6,19.0,492.0,1013.0,0.486,66.9,0.43799999999999994,0.35200000000000004,0.7190000000000001,10.3,22.1,32.4,1,10.09,9.22,0.499,23.5,9.38,0.53,-13.41,-0.16000000000000014,-0.031000000000000024,6.27,8.4,20.4,1.48,6.0,16.0,733.0,1404.0,0.522,0.483,0.37,0.71,13.5,28.1,41.6,-4.4,-2.6000000000000005,-7.699999999999997,-0.5,0.5999999999999996,3.0,-241.0,-391.0,-0.03600000000000003,85.3,-18.399999999999988,-0.044999999999999984,-0.01799999999999996,0.009000000000000119,-3.2,-6.0,-9.200000000000003,2,18.0,13.0,13.22,32.0,4.0,29.25,-14.0,9.0,-16.03
18,8,12,0,0,4.41,8.13,17.3,1.35,7.6,19.0,661.0,1298.0,0.509,80.4,0.47700000000000004,0.406,0.7509999999999999,10.7,25.0,35.7,4,12.66,2.3,0.541,19.15,11.99,0.502,-6.4899999999999975,-9.69,0.039000000000000035,4.83,7.76,14.5,1.0,6.8,22.0,627.0,1201.0,0.522,0.44799999999999995,0.309,0.67,15.6,24.8,40.3,-0.4199999999999999,0.37000000000000105,2.8000000000000007,0.3500000000000001,0.7999999999999998,-3.0,34.0,97.0,-0.013000000000000013,76.6,3.8000000000000114,0.02899999999999997,0.09700000000000003,0.08099999999999985,-4.9,0.1999999999999993,-4.599999999999994,2,26.0,7.0,15.59,22.0,10.0,22.21,4.0,-3.0,-6.620000000000001
19,8,4,1,1,4.83,7.76,14.5,1.0,6.8,22.0,627.0,1201.0,0.522,76.6,0.44799999999999995,0.309,0.67,15.6,24.8,40.3,12,19.15,11.99,0.502,12.66,2.3,0.541,6.4899999999999975,9.69,-0.039000000000000035,4.41,8.13,17.3,1.35,7.6,19.0,661.0,1298.0,0.509,0.47700000000000004,0.406,0.7509999999999999,10.7,25.0,35.7,0.4199999999999999,-0.37000000000000105,-2.8000000000000007,-0.3500000000000001,-0.7999999999999998,3.0,-34.0,-97.0,0.013000000000000013,80.4,-3.8000000000000114,-0.02899999999999997,-0.09700000000000003,-0.08099999999999985,4.9,-0.1999999999999993,4.599999999999994,2,22.0,10.0,22.21,26.0,7.0,15.59,-4.0,3.0,6.620000000000001
20,8,11,1,0,4.82,7.39,15.1,1.08,6.3,17.0,691.0,1384.0,0.499,75.9,0.46299999999999997,0.3720000000000001,0.621,13.3,25.7,39.0,3,9.79,1.67,0.513,14.68,9.24,0.496,-4.8900000000000015,-7.57,0.017000000000000015,3.63,8.87,15.4,1.08,5.9,19.0,640.0,1267.0,0.505,0.447,0.315,0.7340000000000001,14.5,23.7,38.2,1.1900000000000004,-1.4799999999999995,-0.3000000000000007,0.0,0.39999999999999947,-2.0,51.0,117.0,-0.0060000000000000045,76.1,-0.19999999999998866,0.016000000000000014,0.0570000000000001,-0.1130000000000001,-1.1999999999999993,2.0,0.7999999999999972,2,28.0,8.0,13.45,22.0,9.0,18.44,6.0,-1.0,-4.990000000000002
21,8,3,0,1,3.63,8.87,15.4,1.08,5.9,19.0,640.0,1267.0,0.505,76.1,0.447,0.315,0.7340000000000001,14.5,23.7,38.2,11,14.68,9.24,0.496,9.79,1.67,0.513,4.8900000000000015,7.57,-0.017000000000000015,4.82,7.39,15.1,1.08,6.3,17.0,691.0,1384.0,0.499,0.46299999999999997,0.3720000000000001,0.621,13.3,25.7,39.0,-1.1900000000000004,1.4799999999999995,0.3000000000000007,0.0,-0.39999999999999947,2.0,-51.0,-117.0,0.0060000000000000045,75.9,0.19999999999998866,-0.016000000000000014,-0.0570000000000001,0.1130000000000001,1.1999999999999993,-2.0,-0.7999999999999972,2,22.0,9.0,18.44,28.0,8.0,13.45,-6.0,1.0,4.990000000000002
22,5,7,0,0,2.22,7.91,16.3,1.21,8.3,23.0,554.0,1066.0,0.52,75.7,0.45399999999999996,0.359,0.75,10.4,22.8,33.3,2,15.85,8.17,0.525,16.02,7.43,0.521,-0.16999999999999993,0.7400000000000002,0.0040000000000000036,7.13,7.8,14.6,0.91,4.4,11.0,737.0,1465.0,0.503,0.48100000000000004,0.385,0.691,14.0,27.4,41.3,-4.91,0.11000000000000032,1.7000000000000008,0.29999999999999993,3.9,12.0,-183.0,-399.0,0.017000000000000015,77.9,-2.200000000000003,-0.02699999999999997,-0.026000000000000027,0.05900000000000005,-3.6,-4.599999999999998,-8.0,2,23.0,11.0,19.15,27.0,7.0,19.36,-4.0,4.0,-0.21000000000000085
