,Unnamed: 0,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,index_everything,name_y,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted,round
11,11,3,11,1,Indiana State,14,0,0,11,2011,Indiana State,4.36,6.21,12.7,0.9,6.9,19.0,519.0,1110.0,0.468,66.5,0.43,0.363,0.711,2011,10.4,24.4,34.8,3,Indiana State,11,Indiana State,3.41,2.9,64.8,100.8,0.494,2011,18.85,8.79,66.0,110.3,0.528,-15.44,-5.889999999999999,-1.2000000000000028,-9.5,-0.03400000000000003,1
12,12,7,3,1,Washington,7,1,1,12,2011,Washington,5.33,6.73,17.2,1.39,8.8,24.0,711.0,1344.0,0.529,83.5,0.471,0.371,0.667,2011,14.0,25.3,39.3,10,Washington,12,Washington,20.12,7.74,72.0,114.5,0.537,2011,10.43,6.13,64.6,104.0,0.495,9.69,1.6100000000000003,7.400000000000006,10.5,0.04200000000000004,1
13,13,7,3,1,Georgia,10,0,0,13,2011,Georgia,5.03,6.5,15.2,1.13,4.7,14.0,649.0,1328.0,0.489,68.8,0.451,0.34,0.696,2011,12.4,25.3,37.7,7,Georgia,13,Georgia,10.43,6.13,64.6,104.0,0.495,2011,20.12,7.74,72.0,114.5,0.537,-9.69,-1.6100000000000003,-7.400000000000006,-10.5,-0.04200000000000004,1
14,14,2,13,1,UNC,2,1,1,14,2011,North Carolina,5.33,6.12,15.3,1.13,5.2,16.0,748.0,1530.0,0.489,76.7,0.449,0.333,0.6629999999999999,2011,14.2,28.3,42.5,15,North Carolina,14,North Carolina,18.87,10.15,72.6,106.5,0.49200000000000005,2011,2.23,-5.77,75.3,108.9,0.519,16.64,15.92,-2.700000000000003,-2.4000000000000057,-0.027000000000000024,1
15,15,2,13,1,LIU,15,0,0,15,2011,Long Island University,3.44,7.34,15.1,0.99,6.9,19.0,676.0,1320.0,0.512,82.6,0.466,0.366,0.645,2011,14.5,27.4,41.8,2,Long Island University,15,Long Island University,2.23,-5.77,75.3,108.9,0.519,2011,18.87,10.15,72.6,106.5,0.49200000000000005,-16.64,-15.92,2.700000000000003,2.4000000000000057,0.027000000000000024,1
16,16,1,7,1,Ohio State,1,1,1,16,2011,Ohio State,3.32,7.18,15.6,1.53,7.4,18.0,682.0,1282.0,0.532,77.1,0.494,0.413,0.705,2011,11.2,23.3,34.5,8,Ohio State,16,Ohio State,25.84,8.38,64.1,120.0,0.563,2011,11.66,1.37,64.3,111.9,0.532,14.18,7.010000000000002,-0.20000000000000284,8.099999999999994,0.03099999999999992,2
17,17,1,7,1,George Mason,8,0,0,17,2011,George Mason,3.31,6.75,14.3,1.31,6.7,17.0,614.0,1206.0,0.509,73.3,0.474,0.397,0.69,2011,10.6,24.5,35.1,1,George Mason,17,George Mason,11.66,1.37,64.3,111.9,0.532,2011,25.84,8.38,64.1,120.0,0.563,-14.18,-7.010000000000002,0.20000000000000284,-8.099999999999994,-0.03099999999999992,2
18,18,4,1,1,West Virginia,5,0,0,18,2011,West Virginia,4.29,4.61,15.1,1.25,6.3,19.0,540.0,1139.0,0.474,69.5,0.4270000000000001,0.335,0.706,2011,14.4,23.0,37.4,4,West Virginia,18,West Virginia,16.15,11.03,64.0,109.0,0.485,2011,20.3,8.91,66.2,112.8,0.523,-4.150000000000002,2.119999999999999,-2.200000000000003,-3.799999999999997,-0.038000000000000034,2
19,19,4,1,1,Kentucky,4,1,1,19,2011,Kentucky,6.27,5.48,12.7,1.19,7.4,19.0,641.0,1308.0,0.49,76.4,0.46,0.397,0.718,2011,12.1,26.0,38.1,5,Kentucky,19,Kentucky,20.3,8.91,66.2,112.8,0.523,2011,16.15,11.03,64.0,109.0,0.485,4.150000000000002,-2.119999999999999,2.200000000000003,3.799999999999997,0.038000000000000034,2
20,20,11,8,2,Marquette,11,1,0,20,2011,Marquette,3.62,7.18,15.8,1.32,5.3,15.0,726.0,1427.0,0.509,76.1,0.468,0.35200000000000004,0.691,2011,12.4,23.8,36.2,3,Marquette,20,Marquette,14.89,8.51,68.0,110.2,0.51,2011,18.85,8.79,66.0,110.3,0.528,-3.9600000000000013,-0.27999999999999936,2.0,-0.09999999999999433,-0.018000000000000016,2
21,21,11,8,2,Syracuse,3,0,1,21,2011,Syracuse,6.82,8.76,16.3,1.35,6.4,18.0,677.0,1295.0,0.523,73.6,0.469,0.35200000000000004,0.659,2011,12.6,25.2,37.8,11,Syracuse,21,Syracuse,18.85,8.79,66.0,110.3,0.528,2011,14.89,8.51,68.0,110.2,0.51,3.9600000000000013,0.27999999999999936,-2.0,0.09999999999999433,0.018000000000000016,2
22,22,2,5,1,Washington,7,0,0,22,2011,Washington,5.33,6.73,17.2,1.39,8.8,24.0,711.0,1344.0,0.529,83.5,0.471,0.371,0.667,2011,14.0,25.3,39.3,2,Washington,22,Washington,20.12,7.74,72.0,114.5,0.537,2011,18.87,10.15,72.6,106.5,0.49200000000000005,1.25,-2.41,-0.5999999999999943,8.0,0.04500000000000004,2
23,23,2,5,1,UNC,2,1,1,23,2011,North Carolina,5.33,6.12,15.3,1.13,5.2,16.0,748.0,1530.0,0.489,76.7,0.449,0.333,0.6629999999999999,2011,14.2,28.3,42.5,7,North Carolina,23,North Carolina,18.87,10.15,72.6,106.5,0.49200000000000005,2011,20.12,7.74,72.0,114.5,0.537,-1.25,2.41,0.5999999999999943,-8.0,-0.04500000000000004,2
24,24,4,3,2,Ohio State,1,0,1,24,2011,Ohio State,3.32,7.18,15.6,1.53,7.4,18.0,682.0,1282.0,0.532,77.1,0.494,0.413,0.705,2011,11.2,23.3,34.5,4,Ohio State,24,Ohio State,25.84,8.38,64.1,120.0,0.563,2011,20.3,8.91,66.2,112.8,0.523,5.539999999999999,-0.5299999999999994,-2.1000000000000085,7.200000000000002,0.039999999999999925,3
25,25,4,3,2,Kentucky,4,1,0,25,2011,Kentucky,6.27,5.48,12.7,1.19,7.4,19.0,641.0,1308.0,0.49,76.4,0.46,0.397,0.718,2011,12.1,26.0,38.1,1,Kentucky,25,Kentucky,20.3,8.91,66.2,112.8,0.523,2011,25.84,8.38,64.1,120.0,0.563,-5.539999999999999,0.5299999999999994,2.1000000000000085,-7.200000000000002,-0.039999999999999925,3
26,26,2,9,1,Marquette,11,0,0,26,2011,Marquette,3.62,7.18,15.8,1.32,5.3,15.0,726.0,1427.0,0.509,76.1,0.468,0.35200000000000004,0.691,2011,12.4,23.8,36.2,2,Marquette,26,Marquette,14.89,8.51,68.0,110.2,0.51,2011,18.87,10.15,72.6,106.5,0.49200000000000005,-3.98,-1.6400000000000006,-4.599999999999994,3.700000000000003,0.018000000000000016,3
27,27,2,9,1,UNC,2,1,1,27,2011,North Carolina,5.33,6.12,15.3,1.13,5.2,16.0,748.0,1530.0,0.489,76.7,0.449,0.333,0.6629999999999999,2011,14.2,28.3,42.5,11,North Carolina,27,North Carolina,18.87,10.15,72.6,106.5,0.49200000000000005,2011,14.89,8.51,68.0,110.2,0.51,3.98,1.6400000000000006,4.599999999999994,-3.700000000000003,-0.018000000000000016,3
28,28,4,2,2,Kentucky,4,1,0,28,2011,Kentucky,6.27,5.48,12.7,1.19,7.4,19.0,641.0,1308.0,0.49,76.4,0.46,0.397,0.718,2011,12.1,26.0,38.1,2,Kentucky,28,Kentucky,20.3,8.91,66.2,112.8,0.523,2011,18.87,10.15,72.6,106.5,0.49200000000000005,1.4299999999999995,-1.2400000000000002,-6.399999999999992,6.299999999999998,0.031000000000000024,4
29,29,4,2,2,UNC,2,0,1,29,2011,North Carolina,5.33,6.12,15.3,1.13,5.2,16.0,748.0,1530.0,0.489,76.7,0.449,0.333,0.6629999999999999,2011,14.2,28.3,42.5,4,North Carolina,29,North Carolina,18.87,10.15,72.6,106.5,0.49200000000000005,2011,20.3,8.91,66.2,112.8,0.523,-1.4299999999999995,1.2400000000000002,6.399999999999992,-6.299999999999998,-0.031000000000000024,4
30,30,1,15,1,Pitt,1,1,1,30,2011,Pittsburgh,3.44,4.81,17.4,1.49,5.9,15.0,647.0,1279.0,0.506,74.1,0.474,0.39,0.672,2011,14.2,25.6,39.8,16,Pittsburgh,30,Pittsburgh,20.82,7.85,63.3,116.3,0.529,2011,-0.69,-2.89,70.1,102.9,0.495,21.51,10.74,-6.799999999999998,13.399999999999993,0.03400000000000003,1
31,31,1,15,1,UNC Asheville,16,0,0,31,2011,UNC Asheville,4.53,9.28,14.6,0.97,5.0,15.0,676.0,1357.0,0.498,74.2,0.455,0.333,0.706,2011,12.0,23.9,36.0,1,North Carolina-Asheville,31,North Carolina-Asheville,-0.69,-2.89,70.1,102.9,0.495,2011,20.82,7.85,63.3,116.3,0.529,-21.51,-10.74,6.799999999999998,-13.399999999999993,-0.03400000000000003,1
32,32,8,1,1,Butler,8,1,1,32,2011,Butler,1.59,6.03,12.5,1.13,7.5,21.0,558.0,1126.0,0.496,72.8,0.446,0.361,0.73,2011,10.8,24.1,34.9,9,Butler,32,Butler,11.53,5.02,64.5,109.0,0.501,2011,9.03,1.76,60.7,108.1,0.485,2.5,3.26,3.799999999999997,0.9000000000000057,0.016000000000000014,1
33,33,8,1,1,Old Dominion,9,0,0,33,2011,Old Dominion,4.36,6.82,14.5,1.17,4.9,15.0,626.0,1294.0,0.484,65.8,0.441,0.329,0.664,2011,15.5,24.7,40.2,8,Old Dominion,33,Old Dominion,9.03,1.76,60.7,108.1,0.485,2011,11.53,5.02,64.5,109.0,0.501,-2.5,-3.26,-3.799999999999997,-0.9000000000000057,-0.016000000000000014,1
34,34,5,7,1,Kansas State,5,1,1,34,2011,Kansas State,4.78,6.34,14.2,0.95,7.1,19.0,579.0,1235.0,0.469,73.1,0.438,0.375,0.647,2011,14.6,23.3,38.0,12,Kansas State,34,Kansas State,14.59,8.41,68.8,105.9,0.499,2011,13.23,0.5,64.1,111.6,0.527,1.3599999999999994,7.91,4.700000000000003,-5.699999999999988,-0.028000000000000025,1
35,35,5,7,1,Utah State,12,0,0,35,2011,Utah State,3.27,4.85,14.8,1.26,6.1,16.0,617.0,1194.0,0.517,72.2,0.47,0.368,0.736,2011,10.8,26.7,37.5,5,Utah State,35,Utah State,13.23,0.5,64.1,111.6,0.527,2011,14.59,8.41,68.8,105.9,0.499,-1.3599999999999994,-7.91,-4.700000000000003,5.699999999999988,0.028000000000000025,1
36,36,4,9,1,Wisconsin,4,1,1,36,2011,Wisconsin,3.16,3.45,13.2,1.78,8.1,22.0,490.0,989.0,0.495,68.2,0.445,0.371,0.8240000000000001,2011,10.5,21.5,32.1,13,Wisconsin,36,Wisconsin,18.77,9.42,57.3,117.7,0.518,2011,13.07,-4.42,69.2,114.3,0.542,5.699999999999998,13.84,-11.900000000000004,3.4000000000000057,-0.024000000000000018,1
37,37,4,9,1,Belmont,13,0,0,37,2011,Belmont,3.47,9.74,16.4,1.18,9.4,25.0,605.0,1154.0,0.524,80.4,0.464,0.381,0.737,2011,13.1,23.3,36.4,4,Belmont,37,Belmont,13.07,-4.42,69.2,114.3,0.542,2011,18.77,9.42,57.3,117.7,0.518,-5.699999999999998,-13.84,11.900000000000004,-3.4000000000000057,0.024000000000000018,1
38,38,11,5,2,St. John's (NY),6,0,1,38,2011,St. John's,2.81,8.0,12.8,1.03,4.3,13.0,644.0,1303.0,0.494,70.1,0.455,0.33,0.711,2011,10.9,21.8,32.8,11,St. John's (NY),38,St. John's (NY),13.1,10.01,66.5,105.1,0.495,2011,13.86,4.01,68.4,111.3,0.531,-0.7599999999999998,6.0,-1.9000000000000057,-6.200000000000002,-0.03600000000000003,1
39,39,11,5,2,Gonzaga,11,1,0,39,2011,Gonzaga,3.79,7.39,15.3,1.14,5.8,16.0,688.0,1314.0,0.524,76.7,0.479,0.366,0.759,2011,11.3,26.1,37.4,6,Gonzaga,39,Gonzaga,13.86,4.01,68.4,111.3,0.531,2011,13.1,10.01,66.5,105.1,0.495,0.7599999999999998,-6.0,1.9000000000000057,6.200000000000002,0.03600000000000003,1
40,40,3,11,1,BYU,3,1,1,40,2011,BYU,4.18,7.88,14.5,1.32,8.3,23.0,657.0,1298.0,0.506,81.6,0.452,0.362,0.759,2011,11.6,27.1,38.7,14,Brigham Young,40,Brigham Young,18.65,5.76,71.1,113.4,0.518,2011,4.35,-1.21,64.6,111.3,0.53,14.3,6.97,6.5,2.1000000000000085,-0.012000000000000009,1
41,41,3,11,1,Wofford,14,0,0,41,2011,Wofford,2.48,6.76,14.4,1.21,5.8,14.0,668.0,1323.0,0.505,73.8,0.479,0.407,0.691,2011,11.1,21.4,32.5,3,Wofford,41,Wofford,4.35,-1.21,64.6,111.3,0.53,2011,18.65,5.76,71.1,113.4,0.518,-14.3,-6.97,-6.5,-2.1000000000000085,0.012000000000000009,1
42,42,7,3,1,UCLA,7,1,1,42,2011,UCLA,5.81,5.47,14.6,0.98,5.2,16.0,619.0,1216.0,0.509,70.0,0.456,0.329,0.6829999999999999,2011,11.8,25.5,37.3,10,UCLA,42,UCLA,11.7,7.93,66.8,103.8,0.502,2011,13.7,11.67,66.0,103.1,0.489,-2.0,-3.74,0.7999999999999972,0.7000000000000028,0.013000000000000013,1
43,43,7,3,1,Michigan State,10,0,0,43,2011,Michigan State,4.82,6.36,14.8,1.12,6.4,18.0,582.0,1237.0,0.47,68.5,0.4320000000000001,0.353,0.6990000000000001,2011,11.9,25.1,37.0,7,Michigan State,43,Michigan State,13.7,11.67,66.0,103.1,0.489,2011,11.7,7.93,66.8,103.8,0.502,2.0,3.74,-0.7999999999999972,-0.7000000000000028,-0.013000000000000013,1
44,44,2,13,1,Florida,2,1,1,44,2011,Florida,3.55,5.88,13.7,1.1,6.2,17.0,651.0,1278.0,0.509,71.5,0.462,0.35600000000000004,0.667,2011,13.1,24.4,37.5,15,Florida,44,Florida,16.27,7.57,63.9,110.3,0.521,2011,1.22,0.12,65.2,102.9,0.523,15.05,7.45,-1.3000000000000045,7.399999999999991,-0.0020000000000000018,1
45,45,2,13,1,UCSB,15,0,0,45,2011,UC Santa Barbara,4.19,7.29,14.5,1.02,7.2,19.0,503.0,997.0,0.505,68.4,0.456,0.375,0.755,2011,8.7,24.0,32.6,2,UC-Santa Barbara,45,UC-Santa Barbara,1.22,0.12,65.2,102.9,0.523,2011,16.27,7.57,63.9,110.3,0.521,-15.05,-7.45,1.3000000000000045,-7.399999999999991,0.0020000000000000018,1
46,46,8,7,2,Pitt,1,0,1,46,2011,Pittsburgh,3.44,4.81,17.4,1.49,5.9,15.0,647.0,1279.0,0.506,74.1,0.474,0.39,0.672,2011,14.2,25.6,39.8,8,Pittsburgh,46,Pittsburgh,20.82,7.85,63.3,116.3,0.529,2011,11.53,5.02,64.5,109.0,0.501,9.29,2.83,-1.2000000000000028,7.299999999999998,0.028000000000000025,2
47,47,8,7,2,Butler,8,1,0,47,2011,Butler,1.59,6.03,12.5,1.13,7.5,21.0,558.0,1126.0,0.496,72.8,0.446,0.361,0.73,2011,10.8,24.1,34.9,1,Butler,47,Butler,11.53,5.02,64.5,109.0,0.501,2011,20.82,7.85,63.3,116.3,0.529,-9.29,-2.83,1.2000000000000028,-7.299999999999998,-0.028000000000000025,2
48,48,4,1,1,Kansas State,5,0,0,48,2011,Kansas State,4.78,6.34,14.2,0.95,7.1,19.0,579.0,1235.0,0.469,73.1,0.438,0.375,0.647,2011,14.6,23.3,38.0,4,Kansas State,48,Kansas State,14.59,8.41,68.8,105.9,0.499,2011,18.77,9.42,57.3,117.7,0.518,-4.18,-1.0099999999999998,11.5,-11.799999999999995,-0.019000000000000017,2
49,49,4,1,1,Wisconsin,4,1,1,49,2011,Wisconsin,3.16,3.45,13.2,1.78,8.1,22.0,490.0,989.0,0.495,68.2,0.445,0.371,0.8240000000000001,2011,10.5,21.5,32.1,5,Wisconsin,49,Wisconsin,18.77,9.42,57.3,117.7,0.518,2011,14.59,8.41,68.8,105.9,0.499,4.18,1.0099999999999998,-11.5,11.799999999999995,0.019000000000000017,2
50,50,3,8,1,Gonzaga,11,0,0,50,2011,Gonzaga,3.79,7.39,15.3,1.14,5.8,16.0,688.0,1314.0,0.524,76.7,0.479,0.366,0.759,2011,11.3,26.1,37.4,3,Gonzaga,50,Gonzaga,13.86,4.01,68.4,111.3,0.531,2011,18.65,5.76,71.1,113.4,0.518,-4.789999999999999,-1.75,-2.6999999999999886,-2.1000000000000085,0.013000000000000013,2
51,51,3,8,1,BYU,3,1,1,51,2011,BYU,4.18,7.88,14.5,1.32,8.3,23.0,657.0,1298.0,0.506,81.6,0.452,0.362,0.759,2011,11.6,27.1,38.7,11,Brigham Young,51,Brigham Young,18.65,5.76,71.1,113.4,0.518,2011,13.86,4.01,68.4,111.3,0.531,4.789999999999999,1.75,2.6999999999999886,2.1000000000000085,-0.013000000000000013,2
52,52,2,5,1,UCLA,7,0,0,52,2011,UCLA,5.81,5.47,14.6,0.98,5.2,16.0,619.0,1216.0,0.509,70.0,0.456,0.329,0.6829999999999999,2011,11.8,25.5,37.3,2,UCLA,52,UCLA,11.7,7.93,66.8,103.8,0.502,2011,16.27,7.57,63.9,110.3,0.521,-4.57,0.35999999999999943,2.8999999999999986,-6.5,-0.019000000000000017,2
53,53,2,5,1,Florida,2,1,1,53,2011,Florida,3.55,5.88,13.7,1.1,6.2,17.0,651.0,1278.0,0.509,71.5,0.462,0.35600000000000004,0.667,2011,13.1,24.4,37.5,7,Florida,53,Florida,16.27,7.57,63.9,110.3,0.521,2011,11.7,7.93,66.8,103.8,0.502,4.57,-0.35999999999999943,-2.8999999999999986,6.5,0.019000000000000017,2
54,54,8,4,2,Butler,8,1,0,54,2011,Butler,1.59,6.03,12.5,1.13,7.5,21.0,558.0,1126.0,0.496,72.8,0.446,0.361,0.73,2011,10.8,24.1,34.9,4,Butler,54,Butler,11.53,5.02,64.5,109.0,0.501,2011,18.77,9.42,57.3,117.7,0.518,-7.24,-4.4,7.200000000000002,-8.700000000000003,-0.017000000000000015,3
55,55,8,4,2,Wisconsin,4,0,1,55,2011,Wisconsin,3.16,3.45,13.2,1.78,8.1,22.0,490.0,989.0,0.495,68.2,0.445,0.371,0.8240000000000001,2011,10.5,21.5,32.1,8,Wisconsin,55,Wisconsin,18.77,9.42,57.3,117.7,0.518,2011,11.53,5.02,64.5,109.0,0.501,7.24,4.4,-7.200000000000002,8.700000000000003,0.017000000000000015,3
56,56,2,1,1,BYU,3,0,0,56,2011,BYU,4.18,7.88,14.5,1.32,8.3,23.0,657.0,1298.0,0.506,81.6,0.452,0.362,0.759,2011,11.6,27.1,38.7,2,Brigham Young,56,Brigham Young,18.65,5.76,71.1,113.4,0.518,2011,16.27,7.57,63.9,110.3,0.521,2.379999999999999,-1.8100000000000005,7.199999999999997,3.1000000000000085,-0.003000000000000003,3
57,57,2,1,1,Florida,2,1,1,57,2011,Florida,3.55,5.88,13.7,1.1,6.2,17.0,651.0,1278.0,0.509,71.5,0.462,0.35600000000000004,0.667,2011,13.1,24.4,37.5,3,Florida,57,Florida,16.27,7.57,63.9,110.3,0.521,2011,18.65,5.76,71.1,113.4,0.518,-2.379999999999999,1.8100000000000005,-7.199999999999997,-3.1000000000000085,0.003000000000000003,3
58,58,8,6,2,Butler,8,1,0,58,2011,Butler,1.59,6.03,12.5,1.13,7.5,21.0,558.0,1126.0,0.496,72.8,0.446,0.361,0.73,2011,10.8,24.1,34.9,2,Butler,58,Butler,11.53,5.02,64.5,109.0,0.501,2011,16.27,7.57,63.9,110.3,0.521,-4.74,-2.5500000000000007,0.6000000000000014,-1.2999999999999972,-0.020000000000000014,4
59,59,8,6,2,Florida,2,0,1,59,2011,Florida,3.55,5.88,13.7,1.1,6.2,17.0,651.0,1278.0,0.509,71.5,0.462,0.35600000000000004,0.667,2011,13.1,24.4,37.5,8,Florida,59,Florida,16.27,7.57,63.9,110.3,0.521,2011,11.53,5.02,64.5,109.0,0.501,4.74,2.5500000000000007,-0.6000000000000014,1.2999999999999972,0.020000000000000014,4
60,60,1,15,1,Kansas,1,1,1,60,2011,Kansas,4.15,7.94,17.9,1.33,7.3,19.0,759.0,1321.0,0.575,82.4,0.514,0.387,0.6809999999999999,2011,11.7,26.9,38.6,16,Kansas,60,Kansas,24.1,7.62,69.7,116.0,0.57,2011,-2.48,-3.85,62.7,103.0,0.473,26.58,11.47,7.0,13.0,0.09699999999999998,1
61,61,1,15,1,Boston University,16,0,0,61,2011,Boston University,3.71,5.38,9.9,0.83,7.5,21.0,475.0,1091.0,0.435,65.2,0.403,0.355,0.731,2011,12.0,24.0,36.0,1,Boston University,61,Boston University,-2.48,-3.85,62.7,103.0,0.473,2011,24.1,7.62,69.7,116.0,0.57,-26.58,-11.47,-7.0,-13.0,-0.09699999999999998,1
62,62,9,1,2,UNLV,8,0,1,62,2011,UNLV,3.78,8.13,15.5,1.23,5.5,17.0,644.0,1248.0,0.516,71.9,0.461,0.331,0.69,2011,11.3,23.9,35.2,9,Nevada-Las Vegas,62,Nevada-Las Vegas,14.67,6.0,67.3,106.0,0.509,2011,16.72,11.11,66.2,106.8,0.529,-2.049999999999999,-5.1099999999999985,1.0999999999999943,-0.7999999999999972,-0.020000000000000014,1
63,63,9,1,2,Illinois,9,1,0,63,2011,Illinois,4.63,5.56,16.6,1.3,6.8,18.0,624.0,1237.0,0.504,71.3,0.468,0.387,0.7290000000000001,2011,10.2,24.6,34.8,8,Illinois,63,Illinois,16.72,11.11,66.2,106.8,0.529,2011,14.67,6.0,67.3,106.0,0.509,2.049999999999999,5.1099999999999985,-1.0999999999999943,0.7999999999999972,0.020000000000000014,1
64,64,12,7,2,Vanderbilt,5,0,1,64,2011,Vanderbilt,4.85,5.27,13.4,1.02,7.8,21.0,568.0,1112.0,0.511,76.2,0.457,0.37,0.747,2011,10.9,26.1,36.9,12,Vanderbilt,64,Vanderbilt,15.1,6.86,67.6,111.1,0.529,2011,11.23,2.79,63.2,109.5,0.531,3.8699999999999988,4.07,4.399999999999992,1.5999999999999943,-0.0020000000000000018,1
