,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,name_y,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted
15,4,9,1,Princeton,13,0,0,7,2011,Princeton,4.26,5.9,13.5,1.09,6.1,17.0,574.0,1127.0,0.509,69.6,0.465,0.368,0.731,2011,9.9,24.8,34.7,4,Princeton,Princeton,3.71,-1.61,63.4,107.0,0.522,2011,20.3,8.91,66.2,112.8,0.523,-16.59,-10.52,-2.8000000000000043,-5.799999999999997,-0.0010000000000000009
16,11,5,2,Xavier,6,0,1,8,2011,Xavier,3.1,5.52,13.3,1.11,5.5,17.0,592.0,1136.0,0.521,72.6,0.46299999999999997,0.33299999999999996,0.748,2011,10.2,25.3,35.5,11,Xavier,Xavier,11.88,4.41,65.3,108.7,0.512,2011,14.89,8.51,68.0,110.2,0.51,-3.01,-4.1,-2.700000000000003,-1.5,0.0020000000000000018
17,11,5,2,Marquette,11,1,0,9,2011,Marquette,3.62,7.18,15.8,1.32,5.3,15.0,726.0,1427.0,0.509,76.1,0.46799999999999997,0.35200000000000004,0.691,2011,12.4,23.8,36.2,6,Marquette,Marquette,14.89,8.51,68.0,110.2,0.51,2011,11.88,4.41,65.3,108.7,0.512,3.01,4.1,2.700000000000003,1.5,-0.0020000000000000018
18,11,8,2,Marquette,11,1,0,20,2011,Marquette,3.62,7.18,15.8,1.32,5.3,15.0,726.0,1427.0,0.509,76.1,0.46799999999999997,0.35200000000000004,0.691,2011,12.4,23.8,36.2,3,Marquette,Marquette,14.89,8.51,68.0,110.2,0.51,2011,14.89,8.51,68.0,110.2,0.51,0.0,0.0,0.0,0.0,0.0
19,2,9,1,Marquette,11,0,0,26,2011,Marquette,3.62,7.18,15.8,1.32,5.3,15.0,726.0,1427.0,0.509,76.1,0.46799999999999997,0.35200000000000004,0.691,2011,12.4,23.8,36.2,2,Marquette,Marquette,14.89,8.51,68.0,110.2,0.51,2011,14.89,8.51,68.0,110.2,0.51,0.0,0.0,0.0,0.0,0.0
20,3,11,1,Syracuse,3,1,1,10,2011,Syracuse,6.82,8.76,16.3,1.35,6.4,18.0,677.0,1295.0,0.523,73.6,0.469,0.35200000000000004,0.659,2011,12.6,25.2,37.8,14,Syracuse,Syracuse,18.85,8.79,66.0,110.3,0.528,2011,18.85,8.79,66.0,110.3,0.528,0.0,0.0,0.0,0.0,0.0
21,11,8,2,Syracuse,3,0,1,21,2011,Syracuse,6.82,8.76,16.3,1.35,6.4,18.0,677.0,1295.0,0.523,73.6,0.469,0.35200000000000004,0.659,2011,12.6,25.2,37.8,11,Syracuse,Syracuse,18.85,8.79,66.0,110.3,0.528,2011,18.85,8.79,66.0,110.3,0.528,0.0,0.0,0.0,0.0,0.0
22,3,11,1,Indiana State,14,0,0,11,2011,Indiana State,4.36,6.21,12.7,0.9,6.9,19.0,519.0,1110.0,0.46799999999999997,66.5,0.43,0.363,0.711,2011,10.4,24.4,34.8,3,Indiana State,Indiana State,3.41,2.9,64.8,100.8,0.494,2011,20.12,7.74,72.0,114.5,0.537,-16.71,-4.84,-7.200000000000003,-13.700000000000003,-0.04300000000000004
23,7,3,1,Washington,7,1,1,12,2011,Washington,5.33,6.73,17.2,1.39,8.8,24.0,711.0,1344.0,0.529,83.5,0.47100000000000003,0.371,0.667,2011,14.0,25.3,39.3,10,Washington,Washington,20.12,7.74,72.0,114.5,0.537,2011,3.41,2.9,64.8,100.8,0.494,16.71,4.84,7.200000000000003,13.700000000000003,0.04300000000000004
24,2,5,1,Washington,7,0,0,22,2011,Washington,5.33,6.73,17.2,1.39,8.8,24.0,711.0,1344.0,0.529,83.5,0.47100000000000003,0.371,0.667,2011,14.0,25.3,39.3,2,Washington,Washington,20.12,7.74,72.0,114.5,0.537,2011,10.43,6.13,64.6,104.0,0.495,9.690000000000001,1.6100000000000003,7.400000000000006,10.5,0.04200000000000004
25,7,3,1,Georgia,10,0,0,13,2011,Georgia,5.03,6.5,15.2,1.13,4.7,14.0,649.0,1328.0,0.489,68.8,0.451,0.34,0.696,2011,12.4,25.3,37.7,7,Georgia,Georgia,10.43,6.13,64.6,104.0,0.495,2011,20.12,7.74,72.0,114.5,0.537,-9.690000000000001,-1.6100000000000003,-7.400000000000006,-10.5,-0.04200000000000004
26,2,13,1,UNC,2,1,1,14,2011,North Carolina,5.33,6.12,15.3,1.13,5.2,16.0,748.0,1530.0,0.489,76.7,0.449,0.33299999999999996,0.6629999999999999,2011,14.2,28.3,42.5,15,North Carolina,North Carolina,18.87,10.15,72.6,106.5,0.492,2011,18.87,10.15,72.6,106.5,0.492,0.0,0.0,0.0,0.0,0.0
27,2,5,1,UNC,2,1,1,23,2011,North Carolina,5.33,6.12,15.3,1.13,5.2,16.0,748.0,1530.0,0.489,76.7,0.449,0.33299999999999996,0.6629999999999999,2011,14.2,28.3,42.5,7,North Carolina,North Carolina,18.87,10.15,72.6,106.5,0.492,2011,18.87,10.15,72.6,106.5,0.492,0.0,0.0,0.0,0.0,0.0
28,2,9,1,UNC,2,1,1,27,2011,North Carolina,5.33,6.12,15.3,1.13,5.2,16.0,748.0,1530.0,0.489,76.7,0.449,0.33299999999999996,0.6629999999999999,2011,14.2,28.3,42.5,11,North Carolina,North Carolina,18.87,10.15,72.6,106.5,0.492,2011,18.87,10.15,72.6,106.5,0.492,0.0,0.0,0.0,0.0,0.0
29,4,2,2,UNC,2,0,1,29,2011,North Carolina,5.33,6.12,15.3,1.13,5.2,16.0,748.0,1530.0,0.489,76.7,0.449,0.33299999999999996,0.6629999999999999,2011,14.2,28.3,42.5,4,North Carolina,North Carolina,18.87,10.15,72.6,106.5,0.492,2011,18.87,10.15,72.6,106.5,0.492,0.0,0.0,0.0,0.0,0.0
