,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,index_everything,name_y,SRS_adv,SOS_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,eFG_perc_adv_subtracted,BLKPG_opponent,STPG_opponent,APG_opponent,AST_TO_opponent,_3pm_opponent,_3pa_opponent,_2pm_opponent,_2pa_opponent,_2p_perc_opponent,FG_perc_opponent,_3p_perc_opponent,FT_perc_opponent,ORPG_opponent,DRPG_opponent,RPG_opponent,other_team_seed_opponent,BLKPG_subtracted,STPG_subtracted,APG_subtracted,AST_TO_subtracted,_3pm_subtracted,_3pa_subtracted,_2pm_subtracted,_2pa_subtracted,_2p_perc_subtracted,PTS_opponent,PTS_subtracted,FG_perc_subtracted,_3p_perc_subtracted,FT_perc_subtracted,ORPG_subtracted,DRPG_subtracted,RPG_subtracted,round,name_ken,wins,losses,year_kenpom,kenpom_adjem,names_for_merging_ken
10,1144,1144,1144,2152,3,11,1,Georgia,3,1,1,10,2002,Georgia,3.63,8.87,15.4,1.08,5.9,19.0,640.0,1267.0,0.505,76.1,0.447,0.315,0.7340000000000001,2002,14.5,23.7,38.2,14,Georgia,1144,Georgia,14.68,9.24,0.496,2002,0.65,-1.94,0.5,14.03,11.18,-0.0040000000000000036,5.03,8.06,14.5,1.03,6.5,20.0,714.0,1395.0,0.512,0.452,0.319,0.727,15.7,24.3,40.0,3,-1.4000000000000004,0.8099999999999987,0.9000000000000004,0.05000000000000005,-0.5999999999999996,-1.0,-74.0,-128.0,-0.007000000000000006,78.9,-2.800000000000012,-0.0050000000000000044,-0.0040000000000000036,0.007000000000000117,-1.1999999999999993,-0.6000000000000014,-1.7999999999999972,1,Georgia,22.0,9.0,2002,18.44,Georgia
11,1145,1145,1145,2153,3,11,1,Murray State,14,0,0,11,2002,Murray State,5.03,8.06,14.5,1.03,6.5,20.0,714.0,1395.0,0.512,78.9,0.452,0.319,0.727,2002,15.7,24.3,40.0,3,Murray State,1145,Murray State,0.65,-1.94,0.5,2002,14.68,9.24,0.496,-14.03,-11.18,0.0040000000000000036,3.63,8.87,15.4,1.08,5.9,19.0,640.0,1267.0,0.505,0.447,0.315,0.7340000000000001,14.5,23.7,38.2,14,1.4000000000000004,-0.8099999999999987,-0.9000000000000004,-0.05000000000000005,0.5999999999999996,1.0,74.0,128.0,0.007000000000000006,76.1,2.800000000000012,0.0050000000000000044,0.0040000000000000036,-0.007000000000000117,1.1999999999999993,0.6000000000000014,1.7999999999999972,1,Murray St.,17.0,13.0,2002,1.35,Murray State
12,1146,1146,1146,2154,7,3,1,NC State,7,1,1,12,2002,NC State,2.22,7.91,16.3,1.21,8.3,23.0,554.0,1066.0,0.52,75.7,0.454,0.359,0.75,2002,10.4,22.8,33.3,10,North Carolina State,1146,North Carolina State,15.85,8.17,0.525,2002,14.9,9.6,0.516,0.9499999999999992,-1.4299999999999995,0.009000000000000008,3.03,5.07,14.3,0.96,5.8,15.0,574.0,1166.0,0.4920000000000001,0.467,0.398,0.764,12.2,25.5,37.7,7,-0.8099999999999996,2.84,2.0,0.25,2.500000000000001,8.0,-20.0,-100.0,0.027999999999999917,69.7,6.0,-0.013000000000000013,-0.039000000000000035,-0.014000000000000012,-1.7999999999999992,-2.7,-4.400000000000006,1,N.C. State,23.0,11.0,2002,19.15,NC State
13,1147,1147,1147,2155,7,3,1,Michigan State,10,0,0,13,2002,Michigan State,3.03,5.07,14.3,0.96,5.8,15.0,574.0,1166.0,0.4920000000000001,69.7,0.467,0.398,0.764,2002,12.2,25.5,37.7,7,Michigan State,1147,Michigan State,14.9,9.6,0.516,2002,15.85,8.17,0.525,-0.9499999999999992,1.4299999999999995,-0.009000000000000008,2.22,7.91,16.3,1.21,8.3,23.0,554.0,1066.0,0.52,0.454,0.359,0.75,10.4,22.8,33.3,10,0.8099999999999996,-2.84,-2.0,-0.25,-2.500000000000001,-8.0,20.0,100.0,-0.027999999999999917,75.7,-6.0,0.013000000000000013,0.039000000000000035,0.014000000000000012,1.7999999999999992,2.7,4.400000000000006,1,Michigan St.,19.0,12.0,2002,16.86,Michigan State
14,1148,1148,1148,2156,2,13,1,UConn,2,1,1,14,2002,UConn,7.13,7.8,14.6,0.91,4.4,11.0,737.0,1465.0,0.503,77.9,0.481,0.385,0.691,2002,14.0,27.4,41.3,15,Connecticut,1148,Connecticut,16.02,7.43,0.521,2002,-0.4,-8.9,0.537,16.419999999999998,16.33,-0.016000000000000014,3.59,7.97,14.2,0.94,6.5,19.0,700.0,1279.0,0.547,0.486,0.35200000000000004,0.669,13.8,23.8,37.7,2,3.54,-0.16999999999999993,0.4000000000000004,-0.02999999999999992,-2.1,-8.0,37.0,186.0,-0.04400000000000004,79.9,-2.0,-0.0050000000000000044,0.032999999999999974,0.02199999999999991,0.1999999999999993,3.5999999999999983,3.5999999999999943,1,Connecticut,27.0,7.0,2002,19.36,UConn
15,1149,1149,1149,2157,2,13,1,Hampton,15,0,0,15,2002,Hampton,3.59,7.97,14.2,0.94,6.5,19.0,700.0,1279.0,0.547,79.9,0.486,0.35200000000000004,0.669,2002,13.8,23.8,37.7,2,Hampton,1149,Hampton,-0.4,-8.9,0.537,2002,16.02,7.43,0.521,-16.419999999999998,-16.33,0.016000000000000014,7.13,7.8,14.6,0.91,4.4,11.0,737.0,1465.0,0.503,0.481,0.385,0.691,14.0,27.4,41.3,15,-3.54,0.16999999999999993,-0.4000000000000004,0.02999999999999992,2.1,8.0,-37.0,-186.0,0.04400000000000004,77.9,2.0,0.0050000000000000044,-0.032999999999999974,-0.02199999999999991,-0.1999999999999993,-3.5999999999999983,-3.5999999999999943,1,Hampton,25.0,7.0,2002,3.99,Hampton
16,1150,1150,1150,2158,1,7,1,Maryland,1,1,1,16,2002,Maryland,6.27,8.4,20.4,1.48,6.0,16.0,733.0,1404.0,0.522,85.3,0.483,0.37,0.71,2002,13.5,28.1,41.6,8,Maryland,1150,Maryland,23.5,9.38,0.53,2002,10.09,9.22,0.499,13.41,0.16000000000000014,0.031000000000000024,1.87,5.8,12.7,0.98,6.6,19.0,492.0,1013.0,0.486,0.438,0.35200000000000004,0.7190000000000001,10.3,22.1,32.4,1,4.4,2.6000000000000005,7.6999999999999975,0.5,-0.5999999999999996,-3.0,241.0,391.0,0.03600000000000003,66.9,18.399999999999988,0.044999999999999984,0.01799999999999996,-0.009000000000000119,3.2,6.0,9.200000000000003,2,Maryland,32.0,4.0,2002,29.25,Maryland
17,1151,1151,1151,2159,1,7,1,Wisconsin,8,0,0,17,2002,Wisconsin,1.87,5.8,12.7,0.98,6.6,19.0,492.0,1013.0,0.486,66.9,0.438,0.35200000000000004,0.7190000000000001,2002,10.3,22.1,32.4,1,Wisconsin,1151,Wisconsin,10.09,9.22,0.499,2002,23.5,9.38,0.53,-13.41,-0.16000000000000014,-0.031000000000000024,6.27,8.4,20.4,1.48,6.0,16.0,733.0,1404.0,0.522,0.483,0.37,0.71,13.5,28.1,41.6,8,-4.4,-2.6000000000000005,-7.6999999999999975,-0.5,0.5999999999999996,3.0,-241.0,-391.0,-0.03600000000000003,85.3,-18.399999999999988,-0.044999999999999984,-0.01799999999999996,0.009000000000000119,-3.2,-6.0,-9.200000000000003,2,Wisconsin,18.0,13.0,2002,13.22,Wisconsin
18,1152,1152,1152,2160,4,8,1,Tulsa,12,0,0,18,2002,Tulsa,4.41,8.13,17.3,1.35,7.6,19.0,661.0,1298.0,0.509,80.4,0.477,0.406,0.7509999999999999,2002,10.7,25.0,35.7,4,Tulsa,1152,Tulsa,12.66,2.3,0.541,2002,19.15,11.99,0.502,-6.4899999999999975,-9.69,0.039000000000000035,4.83,7.76,14.5,1.0,6.8,22.0,627.0,1201.0,0.522,0.448,0.309,0.67,15.6,24.8,40.3,12,-0.4199999999999999,0.37000000000000105,2.8000000000000007,0.3500000000000001,0.7999999999999998,-3.0,34.0,97.0,-0.013000000000000013,76.6,3.8000000000000114,0.02899999999999997,0.09700000000000003,0.08099999999999985,-4.9,0.1999999999999993,-4.599999999999994,2,Tulsa,26.0,7.0,2002,15.59,Tulsa
19,1153,1153,1153,2161,4,8,1,Kentucky,4,1,1,19,2002,Kentucky,4.83,7.76,14.5,1.0,6.8,22.0,627.0,1201.0,0.522,76.6,0.448,0.309,0.67,2002,15.6,24.8,40.3,12,Kentucky,1153,Kentucky,19.15,11.99,0.502,2002,12.66,2.3,0.541,6.4899999999999975,9.69,-0.039000000000000035,4.41,8.13,17.3,1.35,7.6,19.0,661.0,1298.0,0.509,0.477,0.406,0.7509999999999999,10.7,25.0,35.7,4,0.4199999999999999,-0.37000000000000105,-2.8000000000000007,-0.3500000000000001,-0.7999999999999998,3.0,-34.0,-97.0,0.013000000000000013,80.4,-3.8000000000000114,-0.02899999999999997,-0.09700000000000003,-0.08099999999999985,4.9,-0.1999999999999993,4.599999999999994,2,Kentucky,22.0,10.0,2002,22.21,Kentucky
