,point_difference,team_seed,win,higher_or_lower_seed,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,ORPG,DRPG,RPG,other_team_seed,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted,round
10,11,3,1,1,6.82,8.76,16.3,1.35,6.4,18.0,677.0,1295.0,0.523,73.6,0.469,0.35200000000000004,0.659,12.6,25.2,37.8,14,18.85,8.79,66.0,110.3,0.528,3.41,2.9,64.8,100.8,0.494,15.44,5.889999999999999,1.2000000000000028,9.5,0.03400000000000003,1
11,11,14,0,0,4.36,6.21,12.7,0.9,6.9,19.0,519.0,1110.0,0.46799999999999997,66.5,0.43,0.363,0.711,10.4,24.4,34.8,3,3.41,2.9,64.8,100.8,0.494,18.85,8.79,66.0,110.3,0.528,-15.44,-5.889999999999999,-1.2000000000000028,-9.5,-0.03400000000000003,1
12,3,7,1,1,5.33,6.73,17.2,1.39,8.8,24.0,711.0,1344.0,0.529,83.5,0.47100000000000003,0.371,0.667,14.0,25.3,39.3,10,20.12,7.74,72.0,114.5,0.537,10.43,6.13,64.6,104.0,0.495,9.69,1.6100000000000003,7.400000000000006,10.5,0.04200000000000004,1
13,3,10,0,0,5.03,6.5,15.2,1.13,4.7,14.0,649.0,1328.0,0.489,68.8,0.451,0.34,0.696,12.4,25.3,37.7,7,10.43,6.13,64.6,104.0,0.495,20.12,7.74,72.0,114.5,0.537,-9.69,-1.6100000000000003,-7.400000000000006,-10.5,-0.04200000000000004,1
14,13,2,1,1,5.33,6.12,15.3,1.13,5.2,16.0,748.0,1530.0,0.489,76.7,0.449,0.33299999999999996,0.6629999999999999,14.2,28.3,42.5,15,18.87,10.15,72.6,106.5,0.4920000000000001,2.23,-5.77,75.3,108.9,0.519,16.64,15.92,-2.700000000000003,-2.4000000000000057,-0.027000000000000024,1
15,13,15,0,0,3.44,7.34,15.1,0.99,6.9,19.0,676.0,1320.0,0.512,82.6,0.466,0.366,0.645,14.5,27.4,41.8,2,2.23,-5.77,75.3,108.9,0.519,18.87,10.15,72.6,106.5,0.4920000000000001,-16.64,-15.92,2.700000000000003,2.4000000000000057,0.027000000000000024,1
16,7,1,1,1,3.32,7.18,15.6,1.53,7.4,18.0,682.0,1282.0,0.532,77.1,0.494,0.413,0.705,11.2,23.3,34.5,8,25.84,8.38,64.1,120.0,0.563,11.66,1.37,64.3,111.9,0.532,14.18,7.0100000000000025,-0.20000000000000284,8.099999999999994,0.03099999999999992,2
17,7,8,0,0,3.31,6.75,14.3,1.31,6.7,17.0,614.0,1206.0,0.509,73.3,0.474,0.397,0.69,10.6,24.5,35.1,1,11.66,1.37,64.3,111.9,0.532,25.84,8.38,64.1,120.0,0.563,-14.18,-7.0100000000000025,0.20000000000000284,-8.099999999999994,-0.03099999999999992,2
18,1,5,0,0,4.29,4.61,15.1,1.25,6.3,19.0,540.0,1139.0,0.474,69.5,0.4270000000000001,0.335,0.706,14.4,23.0,37.4,4,16.15,11.03,64.0,109.0,0.485,20.3,8.91,66.2,112.8,0.523,-4.150000000000002,2.119999999999999,-2.200000000000003,-3.799999999999997,-0.038000000000000034,2
19,1,4,1,1,6.27,5.48,12.7,1.19,7.4,19.0,641.0,1308.0,0.49,76.4,0.46,0.397,0.718,12.1,26.0,38.1,5,20.3,8.91,66.2,112.8,0.523,16.15,11.03,64.0,109.0,0.485,4.150000000000002,-2.119999999999999,2.200000000000003,3.799999999999997,0.038000000000000034,2
20,8,11,1,0,3.62,7.18,15.8,1.32,5.3,15.0,726.0,1427.0,0.509,76.1,0.46799999999999997,0.35200000000000004,0.691,12.4,23.8,36.2,3,14.89,8.51,68.0,110.2,0.51,18.85,8.79,66.0,110.3,0.528,-3.960000000000001,-0.27999999999999936,2.0,-0.09999999999999433,-0.018000000000000016,2
21,8,3,0,1,6.82,8.76,16.3,1.35,6.4,18.0,677.0,1295.0,0.523,73.6,0.469,0.35200000000000004,0.659,12.6,25.2,37.8,11,18.85,8.79,66.0,110.3,0.528,14.89,8.51,68.0,110.2,0.51,3.960000000000001,0.27999999999999936,-2.0,0.09999999999999433,0.018000000000000016,2
22,5,7,0,0,5.33,6.73,17.2,1.39,8.8,24.0,711.0,1344.0,0.529,83.5,0.47100000000000003,0.371,0.667,14.0,25.3,39.3,2,20.12,7.74,72.0,114.5,0.537,18.87,10.15,72.6,106.5,0.4920000000000001,1.25,-2.41,-0.5999999999999943,8.0,0.04500000000000004,2
23,5,2,1,1,5.33,6.12,15.3,1.13,5.2,16.0,748.0,1530.0,0.489,76.7,0.449,0.33299999999999996,0.6629999999999999,14.2,28.3,42.5,7,18.87,10.15,72.6,106.5,0.4920000000000001,20.12,7.74,72.0,114.5,0.537,-1.25,2.41,0.5999999999999943,-8.0,-0.04500000000000004,2
