,Unnamed: 0,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,index_everything,name_y,SRS_adv,SOS_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,eFG_perc_adv_subtracted
16,1024,1,7,1,UNC,1,1,1,16,1993,North Carolina,3.7,5.93,14.4,1.08,5.3,18.0,552.0,1190.0,0.46399999999999997,70.6,0.413,0.29100000000000004,0.6629999999999999,1993,13.9,28.7,42.6,8,North Carolina,16,North Carolina,29.04,11.25,0.541,1993,9.5,6.4,0.484,19.54,4.85,0.05700000000000005
17,1025,1,7,1,Rhode Island,8,0,0,17,1993,Rhode Island,4.0,8.73,12.7,1.05,5.7,18.0,544.0,1159.0,0.469,74.7,0.428,0.32299999999999995,0.6920000000000001,1993,12.1,27.3,39.4,1,Rhode Island,17,Rhode Island,9.5,6.4,0.484,1993,29.04,11.25,0.541,-19.54,-4.85,-0.05700000000000005
18,1026,4,1,1,St. John's (NY),5,0,0,18,1993,St. John's,4.22,10.15,14.6,1.24,6.4,21.0,559.0,1235.0,0.45299999999999996,74.7,0.40700000000000003,0.307,0.711,1993,13.0,26.5,39.4,4,St. John's (NY),18,St. John's (NY),13.16,9.49,0.504,1993,17.72,8.3,0.539,-4.559999999999999,1.1899999999999995,-0.03500000000000003
19,1027,4,1,1,Arkansas,4,1,1,19,1993,Arkansas,3.67,8.37,11.7,0.98,7.1,22.0,487.0,953.0,0.511,74.0,0.43700000000000006,0.32,0.727,1993,7.6,24.2,31.8,5,Arkansas,19,Arkansas,17.72,8.3,0.539,1993,13.16,9.49,0.504,4.559999999999999,-1.1899999999999995,0.03500000000000003
20,1028,6,3,2,Virginia,6,1,0,20,1993,Virginia,4.65,5.42,11.6,0.94,5.8,19.0,395.0,821.0,0.48100000000000004,57.7,0.414,0.304,0.711,1993,8.3,25.9,34.2,3,Virginia,20,Virginia,14.6,9.76,0.477,1993,14.25,5.34,0.485,0.34999999999999964,4.42,-0.008000000000000007
21,1029,6,3,2,UMass,3,0,1,21,1993,UMass,3.07,7.04,13.1,0.98,7.4,23.0,469.0,952.0,0.493,68.7,0.426,0.324,0.691,1993,9.4,23.3,32.7,6,Massachusetts,21,Massachusetts,14.25,5.34,0.485,1993,14.6,9.76,0.477,-0.34999999999999964,-4.42,0.008000000000000007
22,1030,2,5,1,New Mexico State,7,0,0,22,1993,New Mexico State,1.75,6.29,14.5,1.07,9.0,25.0,447.0,812.0,0.55,71.5,0.46,0.35600000000000004,0.7090000000000001,1993,10.7,24.2,34.9,2,New Mexico State,22,New Mexico State,8.07,4.1,0.504,1993,22.62,6.62,0.512,-14.55,-2.5200000000000005,-0.008000000000000007
23,1031,2,5,1,Cincinnati,2,1,1,23,1993,Cincinnati,4.85,6.67,15.1,1.03,6.6,21.0,519.0,1000.0,0.519,73.5,0.446,0.317,0.6759999999999999,1993,11.1,27.2,38.3,7,Cincinnati,23,Cincinnati,22.62,6.62,0.512,1993,8.07,4.1,0.504,14.55,2.5200000000000005,0.008000000000000007
24,1032,1,3,1,UNC,1,1,1,24,1993,North Carolina,3.7,5.93,14.4,1.08,5.3,18.0,552.0,1190.0,0.46399999999999997,70.6,0.413,0.29100000000000004,0.6629999999999999,1993,13.9,28.7,42.6,4,North Carolina,24,North Carolina,29.04,11.25,0.541,1993,17.72,8.3,0.539,11.32,2.9499999999999993,0.0020000000000000018
25,1033,1,3,1,Arkansas,4,0,0,25,1993,Arkansas,3.67,8.37,11.7,0.98,7.1,22.0,487.0,953.0,0.511,74.0,0.43700000000000006,0.32,0.727,1993,7.6,24.2,31.8,1,Arkansas,25,Arkansas,17.72,8.3,0.539,1993,29.04,11.25,0.541,-11.32,-2.9499999999999993,-0.0020000000000000018
26,1034,2,4,1,Virginia,6,0,0,26,1993,Virginia,4.65,5.42,11.6,0.94,5.8,19.0,395.0,821.0,0.48100000000000004,57.7,0.414,0.304,0.711,1993,8.3,25.9,34.2,2,Virginia,26,Virginia,14.6,9.76,0.477,1993,22.62,6.62,0.512,-8.020000000000001,3.1399999999999997,-0.03500000000000003
